Variant,Scenario,Description,Bandwidth,Delay,BufferPackets,NumFlows,FlowId,Source,Destination,Throughput_Mbps,Delay_s,LostPackets,TxPackets,RxPackets
TcpNewReno,1,Low-bandwidthLow-latency,2Mbps,10ms,10,2,1,10.2.1.1,10.3.1.2,0.972806,0.0427523,34,4179,4139
TcpNewReno,1,Low-bandwidthLow-latency,2Mbps,10ms,10,2,2,10.3.1.2,10.2.1.1,0.0513264,0.014238,0,2327,2324
TcpNewReno,1,Low-bandwidthLow-latency,2Mbps,10ms,10,2,3,10.2.2.1,10.3.2.2,1.00953,0.0398984,22,4318,4296
TcpNewReno,1,Low-bandwidthLow-latency,2Mbps,10ms,10,2,4,10.3.2.2,10.2.2.1,0.0494832,0.0142302,0,2320,2320
TcpNewReno,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,1,10.2.1.1,10.3.1.2,0.55008,0.137945,27,2374,2341
TcpNewReno,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,2,10.3.1.2,10.2.1.1,0.0297568,0.104243,0,1325,1319
TcpNewReno,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,3,10.2.2.1,10.3.2.2,0.595003,0.132542,19,2554,2532
TcpNewReno,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,4,10.3.2.2,10.2.2.1,0.0301408,0.104239,0,1371,1359
TcpNewReno,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,5,10.2.3.1,10.3.3.2,0.43836,0.131701,9,1893,1866
TcpNewReno,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,6,10.3.3.2,10.2.3.1,0.0234208,0.104242,0,1046,1043
TcpNewReno,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,1,10.2.1.1,10.3.1.2,3.31552,0.0261552,14,14133,14119
TcpNewReno,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,2,10.3.1.2,10.2.1.1,0.154994,0.0140525,0,7354,7354
TcpNewReno,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,3,10.2.2.1,10.3.2.2,3.13071,0.0270854,18,13336,13318
TcpNewReno,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,4,10.3.2.2,10.2.2.1,0.148909,0.0140529,0,7015,7015
TcpNewReno,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,5,10.2.3.1,10.3.3.2,3.07671,0.0262063,14,13099,13085
TcpNewReno,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,6,10.3.3.2,10.2.3.1,0.144024,0.0140525,0,6830,6830
TcpNewReno,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,1,10.2.1.1,10.3.1.2,1.35068,0.110105,2,5763,5761
TcpNewReno,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,2,10.3.1.2,10.2.1.1,0.0637152,0.104053,0,3021,3021
TcpNewReno,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,3,10.2.2.1,10.3.2.2,2.70836,0.108286,5,11539,11534
TcpNewReno,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,4,10.3.2.2,10.2.2.1,0.12431,0.104053,0,5897,5897
TcpNewReno,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,5,10.2.3.1,10.3.3.2,2.4887,0.108175,3,10596,10593
TcpNewReno,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,6,10.3.3.2,10.2.3.1,0.114069,0.104052,0,5422,5422
TcpCubic,1,Low-bandwidthLow-latency,2Mbps,10ms,10,2,1,10.2.1.1,10.3.1.2,1.01732,0.0645047,113,4454,4328
TcpCubic,1,Low-bandwidthLow-latency,2Mbps,10ms,10,2,2,10.3.1.2,10.2.1.1,0.0625712,0.0142497,0,2698,2696
TcpCubic,1,Low-bandwidthLow-latency,2Mbps,10ms,10,2,3,10.2.2.1,10.3.2.2,0.968338,0.052121,46,4176,4120
TcpCubic,1,Low-bandwidthLow-latency,2Mbps,10ms,10,2,4,10.3.2.2,10.2.2.1,0.0544896,0.0142386,0,2463,2461
TcpCubic,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,1,10.2.1.1,10.3.1.2,0.626795,0.174928,86,2774,2668
TcpCubic,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,2,10.3.1.2,10.2.1.1,0.0406976,0.10426,0,1697,1681
TcpCubic,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,3,10.2.2.1,10.3.2.2,0.59712,0.162751,69,2642,2541
TcpCubic,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,4,10.3.2.2,10.2.2.1,0.0376768,0.104256,0,1595,1583
TcpCubic,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,5,10.2.3.1,10.3.3.2,0.57995,0.151598,39,2511,2468
TcpCubic,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,6,10.3.3.2,10.2.3.1,0.0361424,0.104255,0,1535,1526
TcpCubic,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,1,10.2.1.1,10.3.1.2,3.2098,0.0276163,31,13704,13673
TcpCubic,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,2,10.3.1.2,10.2.1.1,0.15736,0.0140531,0,7381,7381
TcpCubic,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,3,10.2.2.1,10.3.2.2,3.2205,0.028546,31,13737,13706
TcpCubic,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,4,10.3.2.2,10.2.2.1,0.158355,0.0140532,0,7411,7411
TcpCubic,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,5,10.2.3.1,10.3.3.2,3.12912,0.0298073,42,13350,13308
TcpCubic,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,6,10.3.3.2,10.2.3.1,0.159981,0.0140541,0,7363,7363
TcpCubic,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,1,10.2.1.1,10.3.1.2,3.50223,0.111022,8,14932,14924
TcpCubic,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,2,10.3.1.2,10.2.1.1,0.166522,0.104053,0,7835,7835
TcpCubic,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,3,10.2.2.1,10.3.2.2,2.26021,0.113658,9,9649,9640
TcpCubic,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,4,10.3.2.2,10.2.2.1,0.11353,0.104054,0,5281,5281
TcpCubic,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,5,10.2.3.1,10.3.3.2,2.29148,0.112903,9,9784,9775
TcpCubic,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,6,10.3.3.2,10.2.3.1,0.113678,0.104054,0,5286,5286
TcpBbr,1,Low-bandwidthLow-latency,2Mbps,10ms,10,2,1,10.2.1.1,10.3.1.2,0.956374,0.0610969,256,4327,4071
TcpBbr,1,Low-bandwidthLow-latency,2Mbps,10ms,10,2,2,10.3.1.2,10.2.1.1,0.0932384,0.0142913,0,3427,3427
TcpBbr,1,Low-bandwidthLow-latency,2Mbps,10ms,10,2,3,10.2.2.1,10.3.2.2,0.978398,0.059735,283,4447,4164
TcpBbr,1,Low-bandwidthLow-latency,2Mbps,10ms,10,2,4,10.3.2.2,10.2.2.1,0.0995696,0.0142985,0,3568,3568
TcpBbr,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,1,10.2.1.1,10.3.1.2,0.684597,0.232569,416,3334,2918
TcpBbr,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,2,10.3.1.2,10.2.1.1,0.0671552,0.104297,0,2417,2417
TcpBbr,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,3,10.2.2.1,10.3.2.2,0.490195,0.192401,204,2293,2089
TcpBbr,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,4,10.3.2.2,10.2.2.1,0.0461872,0.10429,0,1704,1704
TcpBbr,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,5,10.2.3.1,10.3.3.2,0.572131,0.186461,264,2718,2437
TcpBbr,2,Low-bandwidthHigh-latency,2Mbps,100ms,20,3,6,10.3.3.2,10.2.3.1,0.0476752,0.104285,0,1803,1794
TcpBbr,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,1,10.2.1.1,10.3.1.2,2.66604,0.0461641,273,11804,11531
TcpBbr,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,2,10.3.1.2,10.2.1.1,0.206419,0.0140636,0,8035,8035
TcpBbr,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,3,10.2.2.1,10.3.2.2,2.76693,0.0466209,301,12261,11960
TcpBbr,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,4,10.3.2.2,10.2.2.1,0.226437,0.0140645,0,8684,8684
TcpBbr,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,5,10.2.3.1,10.3.3.2,2.39254,0.0453542,288,10544,10256
TcpBbr,3,High-bandwidthLow-latency,10Mbps,10ms,20,3,6,10.3.3.2,10.2.3.1,0.191442,0.014064,0,7398,7398
TcpBbr,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,1,10.2.1.1,10.3.1.2,2.77538,0.160194,226,12497,12271
TcpBbr,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,2,10.3.1.2,10.2.1.1,0.227419,0.104063,0,8878,8878
TcpBbr,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,3,10.2.2.1,10.3.2.2,2.68768,0.16182,209,12067,11858
TcpBbr,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,4,10.3.2.2,10.2.2.1,0.219278,0.104063,0,8586,8586
TcpBbr,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,5,10.2.3.1,10.3.3.2,1.80596,0.153802,170,7907,7737
TcpBbr,4,High-bandwidthHigh-latency,10Mbps,100ms,50,3,6,10.3.3.2,10.2.3.1,0.165568,0.104067,0,6151,6151
